# Table from Asplund et al. (2009). https://ui.adsabs.harvard.edu/abs/2009ARA%26A..47..481A/abstract submit data cleaning bugs to GalacticCEM@gmail.com
#
# Table	1:	Element	abundances	in	the	present-day	solar	photosphere.
# Also	given	are	the	corresponding values	for	CI	carbonaceous
# chondrites(Lodders, Palme & Gail 2009). Indirect photospheric estimates have
# been usedfor the noble gases (Sect. 3.9).
#
# Throughout this review, we adopt the customary astronomical scale for 
# logarithmic abundances where H is defined to be logε_H = 12.00, that is,
# logε_X = log(N_X/N_H) + 12, where N_X and N_H are 
# the number densities of elements X and H, respectively.
#
# Z	Ele	Phot	Perr	Meteor.	Merr
0	,null,		,		,		,	
1	,H,		12.00,		,	8.22,	0.04
2	,He,	10.93,	0.01,	1.29,			# Noble gas --> indirect photospheric estimates
3	,Li,	1.05,	0.10,	3.26,	0.05	
4	,Be,	1.38,	0.09,	1.30,	0.03
5	,B,		2.70,	0.20,	2.79,	0.04	
6	,C,		8.43,	0.05,	7.39,	0.04
7	,N,		7.83,	0.05,	6.26,	0.06	
8	,O,		8.69,	0.05,	8.40,	0.04	
9	,F,		4.56,	0.30,	4.42,	0.06	
10	,Ne,	7.93,	0.10,	−1.12,			# Noble gas --> indirect photospheric estimates	
11	,Na,	6.24,	0.04,	6.27,	0.02
12	,Mg,	7.60,	0.04,	7.53,	0.01
13	,Al,	6.45,	0.03,	6.43,	0.01
14	,Si,	7.51,	0.03,	7.51,	0.01
15	,P,		5.41,	0.03,	5.43,	0.04
16	,S,		7.12,	0.03,	7.15,	0.02
17	,Cl,	5.50,	0.30,	5.23,	0.06
18	,Ar,	6.40,	0.13,	−0.50,			# Noble gas --> indirect photospheric estimates
19	,K,		5.03,	0.09,	5.08,	0.02
20	,Ca,	6.34,	0.04,	6.29,	0.02
21	,Sc,	3.15,	0.04,	3.05,	0.02
22	,Ti,	4.95,	0.05,	4.91,	0.03
23	,V,		3.93,	0.08,	3.96,	0.02
24	,Cr,	5.64,	0.04,	5.64,	0.01
25	,Mn,	5.43,	0.05,	5.48,	0.01
