# Table from Asplund et al. (2009). https://ui.adsabs.harvard.edu/abs/2009ARA%26A..47..481A/abstract Submit data cleaning bugs to GalacticCEM@gmail.com
#
# Table 3: Representative isotopic abundance fractions [by number?] in the solar system. 
# Most of the isotopic values are taken from Rosman & Taylor (1998) 
# with updates for some elements, as discussed in Sect. 3.10.
#
# Name	Z		A		%	
 H,	1	,	1		,	99.998
 H,	1	,	2		,	0.002
He,	2	,	3		,	0.0166
He,	2	,	4		,	99.9834
Li,	3	,	6		,	7.59
Li,	3	,	7		,	92.41
Be,	4	,	9		,	100.0
 B,	5	,	10		,	19.9
 B,	5	,	11		,	80.1
 C,	6	,	12		,	98.8938
 C,	6	,	13		,	1.1062
 N,	7	,	14		,	99.771
 N,	7	,	15		,	0.229
 O,	8	,	16		,	99.7621
 O,	8	,	17		,	0.0379
 O,	8	,	18		,	0.2000
 F,	9	,	19		,	100.0
Ne,	10	,	20		,	92.9431
Ne,	10	,	21		,	0.2228
Ne,	10	,	22		,	6.8341
Na,	11	,	23		,	100.0
Mg,	12	,	24		,	78.99
Mg,	12	,	25		,	10.00
Mg,	12	,	26		,	11.01
Al,	13	,	27		,	100.0
Si,	14	,	28		,	92.2297
Si,	14	,	29		,	4.6832
Si,	14	,	30		,	3.0872
 P,	15	,	31		,	100.0
 S,	16	,	32		,	94.93
 S,	16	,	33		,	0.76
 S,	16	,	34		,	4.29
 S,	16	,	36		,	0.02
Cl,	17	,	35		,	75.78
Cl,	17	,	37		,	24.22
Ar,	18	,	36		,	84.5946
Ar,	18	,	38		,	15.3808
Ar,	18	,	40		,	0.0246
 K,	19	,	39		,	93.132
 K,	19	,	40		,	0.147
 K,	19	,	41		,	6.721
Ca,	20	,	40		,	96.941
Ca,	20	,	42		,	0.647
Ca,	20	,	43		,	0.135
Ca,	20	,	44		,	2.086
Ca,	20	,	46		,	0.004
Ca,	20	,	48		,	0.187
Sc,	21	,	45		,	100.0
Ti,	22	,	46		,	8.25
Ti,	22	,	47		,	7.44
Ti,	22	,	48		,	73.72
Ti,	22	,	49		,	5.41
Ti,	22	,	50		,	5.18
 V,	23	,	50		,	0.250
 V,	23	,	51		,	99.750
Cr,	24	,	50		,	4.345
Cr,	24	,	52		,	83.789
Cr,	24	,	53		,	9.501
Cr,	24	,	54		,	2.365
Mn,	25	,	55		,	100.0
Fe,	26	,	54		,	5.845
Fe,	26	,	56		,	91.754
Fe,	26	,	57		,	2.119
Fe,	26	,	58		,	0.282
Co,	27	,	59		,	100.0
Ni,	28	,	58		,	68.0769
Ni,	28	,	60		,	26.2231
Ni,	28	,	61		,	1.1399
Ni,	28	,	62		,	3.6345
Ni,	28	,	64		,	0.9256
Cu,	29	,	63		,	69.17
Cu,	29	,	65		,	30.83
Zn,	30	,	64		,	48.63
Zn,	30	,	66		,	27.90
Zn,	30	,	67		,	4.10
Zn,	30	,	68		,	18.75
Zn,	30	,	70		,	0.62
Ga,	31	,	69		,	60.108
Ga,	31	,	71		,	39.892
Ge,	32	,	70		,	20.84
Ge,	32	,	72		,	27.54
Ge,	32	,	73		,	7.73
Ge,	32	,	74		,	36.28
Ge,	32	,	76		,	7.61
As,	33	,	75		,	100.0
Se,	34	,	74		,	0.89
Se,	34	,	76		,	9.37
Se,	34	,	77		,	7.63
Se,	34	,	78		,	23.77
Se,	34	,	80		,	49.61
Se,	34	,	82		,	8.73
Br,	35	,	79		,	50.69
Br,	35	,	81		,	49.31
Kr,	36	,	78		,	0.362
Kr,	36	,	80		,	2.326
Kr,	36	,	82		,	11.655
Kr,	36	,	83		,	11.546
Kr,	36	,	84		,	56.903
Kr,	36	,	86		,	17.208
Rb,	37	,	85		,	70.844
Rb,	37	,	87		,	29.156
Sr,	38	,	84		,	0.5580
Sr,	38	,	86		,	9.8678
Sr,	38	,	87		,	6.8961
Sr,	38	,	88		,	82.6781
 Y,	39	,	89		,	100.0
Zr,	40	,	90		,	51.45
Zr,	40	,	91		,	11.22
Zr,	40	,	92		,	17.15
Zr,	40	,	94		,	17.38
Zr,	40	,	96		,	2.80
Nb,	41	,	93		,	100.0
Mo,	42	,	92		,	14.525
Mo,	42	,	94		,	9.151
Mo,	42	,	95		,	15.838
Mo,	42	,	96		,	16.672
Mo,	42	,	97		,	9.599
Mo,	42	,	98		,	24.391
Mo,	42	,	100	,	9.824
# Technetium
Ru,	44	,	96		,	5.54
Ru,	44	,	98		,	1.87
Ru,	44	,	99		,	12.76
Ru,	44	,	100	,	12.60
Ru,	44	,	101	,	17.06
Ru,	44	,	102	,	31.55
Ru,	44	,	104	,	18.62
Rh,	45	,	103	,	100.0
Pd,	46	,	102	,	1.02
Pd,	46	,	104	,	11.14
Pd,	46	,	105	,	22.33
Pd,	46	,	106	,	27.33
Pd,	46	,	108	,	26.46
Pd,	46	,	110	,	11.72
Ag,	47	,	107	,	51.839
Ag,	47	,	109	,	48.161
Cd,	48	,	106	,	1.25
Cd,	48	,	108	,	0.89
Cd,	48	,	110	,	12.49
Cd,	48	,	111	,	12.80
Cd,	48	,	112	,	24.13
Cd,	48	,	113	,	12.22
Cd,	48	,	114	,	28.73
Cd,	48	,	116	,	7.49
In,	49	,	113	,	4.29
In,	49	,	115	,	95.71
Sn,	50	,	112	,	0.97
Sn,	50	,	114	,	0.66
Sn,	50	,	115	,	0.34
Sn,	50	,	116	,	14.54
Sn,	50	,	117	,	7.68
Sn,	50	,	118	,	24.22
Sn,	50	,	119	,	8.59
Sn,	50	,	120	,	32.58
Sn,	50	,	122	,	4.63
Sn,	50	,	124	,	5.79
Sb,	51	,	121	,	57.21
Sb,	51	,	123	,	42.79
Te,	52	,	120	,	0.09
Te,	52	,	122	,	2.55
Te,	52	,	123	,	0.89
Te,	52	,	124	,	4.74
Te,	52	,	125	,	7.07
Te,	52	,	126	,	18.84
Te,	52	,	128	,	31.74
Te,	52	,	130	,	34.08
 I,	53	,	127	,	100.0
Xe,	54	,	124	,	0.122
Xe,	54	,	126	,	0.108
Xe,	54	,	128	,	2.188
Xe,	54	,	129	,	27.255
Xe,	54	,	130	,	4.376
Xe,	54	,	131	,	21.693
Xe,	54	,	132	,	26.514
