# Original file from the Supplementary data of Karakas+10 (MNRAS,403,1413) https://cdsarc.unistra.fr/viz-bin/cat/J/MNRAS/403/1413 Submit Data manipulation bugs to GalacticCEM@gmail.com. I added the AtomicZ column
# Data also available for download at  https://academic.oup.com/mnras/article/403/3/1413/1048800#supplementary-data
# (1) Initial Mass M0	(2) Initial Metallicity Z0	(3) Final Mass M1	(4) Species i	(5) Atomic mass of the species i	
# (6) net yield	(7) mass of species i lost in the wind	(8) mass of species i initially present in the wind	
# (9) mass fraction of the average abundance of species i in the wind <X(i)>	(10) initial mass fraction of species i  X0(i)
# (11) production factor, f=log10(<X(i)>/X0(i))
#
# al-6 and al*6 are the ground and metastable state of 26Al, respectively
#
# Note (2): g represents the sum of abundances from ^64^Ni to Bi; an increase in g indicates that neutron captures have occurred 
# beyond the end of the network.
#
#
#table3 = np.genfromtxt('tablea3_Z0.008.dat', delimiter=',', names=['Mini','Zini','Mfin','Symb','AtomicZ','A','Yield','Mi_windloss','Mi_ini','Xi_avg','Xi_ini','ProdFact'], dtype =[('Mini', '<f8'), ('Zini', '<f8'), ('Mfin', '<f8'), ('Symb', '<U4'), ('AtomicZ', 'i4'), ('A', 'i4'), ('Yield', '<f8'), ('Mi_windloss', '<f8'), ('Mi_ini', '<f8'), ('Xi_avg', '<f8'), ('Xi_ini', '<f8'), ('ProdFact', '<f8')])
# Uncomment the row below to import in Python with pandas instead through the command: pd.read_csv('tablea3_Z_0.008.dat')
#Mini ,Zini ,Mfin  ,Symb ,AtomicZ ,A  ,Yield          ,Mi_windloss    ,Mi_ini        ,Xi_avg         ,Xi_ini        ,ProdFact
1.0  ,0.008 ,0.577 ,g    ,0       ,1  ,3.3505394e-09  ,1.2944828e-08  ,9.5942889e-09 ,3.0602433e-08  ,2.268423e-08  ,0.1300319
1.0  ,0.008 ,0.577 ,n    ,0       ,1  ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,p    ,1       ,1  ,-0.0087296963  ,0.30307159     ,0.31180128    ,0.71648133     ,0.73720652    ,-0.012384283
1.0  ,0.008 ,0.577 ,d    ,1       ,2  ,1.3024999e-18  ,1.3024999e-18  ,0.0           ,3.0791962e-18  ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,he3  ,2       ,3  ,0.00013490564  ,0.00013490564  ,0.0           ,0.00031892589  ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,he4  ,2       ,4  ,0.0085823014   ,0.11652166     ,0.10793936    ,0.27546492     ,0.25520611    ,0.033175245
1.0  ,0.008 ,0.577 ,li7  ,3       ,7  ,1.3541179e-10  ,9.2442448e-10  ,7.8901269e-10 ,2.1854007e-09  ,1.8655e-09    ,0.06873583
1.0  ,0.008 ,0.577 ,be7  ,4       ,7  ,2.5793469e-12  ,2.5793469e-12  ,0.0           ,6.0977473e-12  ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,b8   ,5       ,8  ,1.7172822e-23  ,1.7172822e-23  ,0.0           ,4.0597688e-23  ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,c12  ,6       ,12 ,-7.8859419e-05 ,0.0004343141   ,0.00051317352 ,0.0010267474   ,0.0012133204  ,-0.072511904
1.0  ,0.008 ,0.577 ,c13  ,6       ,13 ,9.4618335e-06  ,1.5637945e-05  ,6.1761111e-06 ,3.6969137e-05  ,1.4602471e-05 ,0.40341297
1.0  ,0.008 ,0.577 ,c14  ,6       ,14 ,7.4248012e-27  ,7.4248012e-27  ,0.0           ,1.7552722e-26  ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,n13  ,7       ,13 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,n14  ,7       ,14 ,8.4999876e-05  ,0.00027197978  ,0.0001869799  ,0.00064297824  ,0.00044208541 ,0.16269007
1.0  ,0.008 ,0.577 ,n15  ,7       ,15 ,-2.1446562e-07 ,5.2395637e-07  ,7.3842199e-07 ,1.2386677e-06  ,1.7458859e-06 ,-0.14906107
1.0  ,0.008 ,0.577 ,o14  ,8       ,14 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,o15  ,8       ,15 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,o16  ,8       ,16 ,-3.5653356e-06 ,0.0016203977   ,0.001623963   ,0.0038307277   ,0.0038396122  ,-0.0010060837
1.0  ,0.008 ,0.577 ,o17  ,8       ,17 ,3.7801834e-07  ,1.0359313e-06  ,6.5791295e-07 ,2.4490103e-06  ,1.5555346e-06 ,0.19711094
1.0  ,0.008 ,0.577 ,o18  ,8       ,18 ,-2.3111897e-07 ,3.4365676e-06  ,3.6676865e-06 ,8.1242733e-06  ,8.6716846e-06 ,-0.028318936
1.0  ,0.008 ,0.577 ,o19  ,8       ,19 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,f17  ,9       ,17 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,f18  ,9       ,18 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,f19  ,9       ,19 ,-1.235847e-10  ,6.8445949e-08  ,6.8569534e-08 ,1.6181076e-07  ,1.6212219e-07 ,-0.00083505531
1.0  ,0.008 ,0.577 ,f20  ,9       ,20 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,ne19 ,10      ,19 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,ne20 ,10      ,20 ,-6.1409082e-09 ,0.00027411495  ,0.00027412109 ,0.00064802595  ,0.00064811739 ,-6.1276412e-05
1.0  ,0.008 ,0.577 ,ne21 ,10      ,21 ,5.4034217e-09  ,7.0409897e-07  ,6.9869554e-07 ,1.6645366e-06  ,1.6519588e-06 ,0.0032941489
1.0  ,0.008 ,0.577 ,ne22 ,10      ,22 ,-1.6202284e-07 ,2.1882992e-05  ,2.2045015e-05 ,5.1732844e-05  ,5.2122065e-05 ,-0.0032552413
1.0  ,0.008 ,0.577 ,ne23 ,10      ,23 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,na21 ,11      ,21 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,na22 ,11      ,22 ,1.9811885e-34  ,1.9811885e-34  ,0.0           ,4.6836608e-34  ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,na23 ,11      ,23 ,1.6975673e-07  ,5.8235955e-06  ,5.6538388e-06 ,1.3767366e-05  ,1.3367638e-05 ,0.012796195
1.0  ,0.008 ,0.577 ,na24 ,11      ,24 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,mg23 ,12      ,23 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,mg24 ,12      ,24 ,1.4551915e-10  ,8.7182983e-05  ,8.7182838e-05 ,0.00020610636  ,0.0002061305  ,-5.0868908e-05
1.0  ,0.008 ,0.577 ,mg25 ,12      ,25 ,-1.0129952e-08 ,1.1447689e-05  ,1.1457819e-05 ,2.7063095e-05  ,2.7090264e-05 ,-0.00043577587
1.0  ,0.008 ,0.577 ,mg26 ,12      ,26 ,9.6397343e-09  ,1.3152193e-05  ,1.3142553e-05 ,3.1092655e-05  ,3.107356e-05  ,0.00026680235
1.0  ,0.008 ,0.577 ,mg27 ,12      ,27 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,al25 ,13      ,25 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,al-6 ,13      ,26 ,7.7917134e-10  ,7.7917134e-10  ,0.0           ,1.8420128e-09  ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,al*6 ,13      ,26 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,al27 ,13      ,27 ,1.2278178e-10  ,9.8319551e-06  ,9.8318324e-06 ,2.3243394e-05  ,2.3245864e-05 ,-4.6157136e-05
1.0  ,0.008 ,0.577 ,al28 ,13      ,28 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,si27 ,14      ,27 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,si28 ,14      ,28 ,-3.6379788e-10 ,0.0001106128   ,0.00011061317 ,0.000261496    ,0.00026152792 ,-5.3017699e-05
1.0  ,0.008 ,0.577 ,si29 ,14      ,29 ,1.2732926e-11  ,5.803045e-06   ,5.8030323e-06 ,1.3718784e-05  ,1.3720383e-05 ,-5.0635907e-05
1.0  ,0.008 ,0.577 ,si30 ,14      ,30 ,-6.8212103e-12 ,3.9842625e-06  ,3.9842694e-06 ,9.4190609e-06  ,9.420196e-06  ,-5.2344581e-05
1.0  ,0.008 ,0.577 ,si31 ,14      ,31 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,si32 ,14      ,32 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,si33 ,14      ,33 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,p29  ,15      ,29 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,p30  ,15      ,30 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,p31  ,15      ,31 ,1.8189894e-12  ,1.3814207e-06  ,1.3814189e-06 ,3.2657701e-06  ,3.266154e-06  ,-5.1024243e-05
1.0  ,0.008 ,0.577 ,p32  ,15      ,32 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,p33  ,15      ,33 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,p34  ,15      ,34 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,s32  ,16      ,32 ,-8.7311491e-11 ,6.7050096e-05  ,6.7050183e-05 ,0.00015851087  ,0.0001585299  ,-5.2137471e-05
1.0  ,0.008 ,0.577 ,s33  ,16      ,33 ,-3.4106051e-13 ,5.4579664e-07  ,5.4579698e-07 ,1.2902995e-06  ,1.2904536e-06 ,-5.1878582e-05
1.0  ,0.008 ,0.577 ,s34  ,16      ,34 ,-4.3655746e-11 ,3.1647451e-05  ,3.1647494e-05 ,7.4816671e-05  ,7.4825664e-05 ,-5.2189247e-05
1.0  ,0.008 ,0.577 ,s35  ,16      ,35 ,2.1617763e-20  ,2.1617763e-20  ,0.0           ,5.1105826e-20  ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,fe54 ,26      ,54 ,7.2759576e-12  ,1.2080617e-05  ,1.208061e-05  ,2.855938e-05   ,2.8562754e-05 ,-5.130902e-05
1.0  ,0.008 ,0.577 ,fe55 ,26      ,55 ,8.1741802e-19  ,8.1741802e-19  ,0.0           ,1.9324304e-18  ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,fe56 ,26      ,56 ,4.5110937e-10  ,0.00019808147  ,0.00019808102 ,0.00046827772  ,0.00046833229 ,-5.0610019e-05
1.0  ,0.008 ,0.577 ,fe57 ,26      ,57 ,-1.8189894e-11 ,4.8376028e-06  ,4.837621e-06  ,1.1436414e-05  ,1.1437815e-05 ,-5.3224812e-05
1.0  ,0.008 ,0.577 ,fe58 ,26      ,58 ,1.080025e-12   ,6.2644199e-07  ,6.2644091e-07 ,1.4809505e-06  ,1.4811237e-06 ,-5.0817129e-05
1.0  ,0.008 ,0.577 ,fe59 ,26      ,59 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,fe60 ,26      ,60 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,fe61 ,26      ,61 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,co59 ,27      ,59 ,-5.1159077e-13 ,5.6898836e-07  ,5.6898887e-07 ,1.3451262e-06  ,1.3452873e-06 ,-5.2008025e-05
1.0  ,0.008 ,0.577 ,co60 ,27      ,60 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,co61 ,27      ,61 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,ni58 ,28      ,58 ,-2.0918378e-11 ,8.3770983e-06  ,8.3771192e-06 ,1.9804016e-05  ,1.9806417e-05 ,-5.2655254e-05
1.0  ,0.008 ,0.577 ,ni59 ,28      ,59 ,2.2506916e-24  ,2.2506916e-24  ,0.0           ,5.320784e-24   ,0.0           ,0.0
1.0  ,0.008 ,0.577 ,ni60 ,28      ,60 ,-5.4569682e-12 ,3.3177398e-06  ,3.3177453e-06 ,7.8433568e-06  ,7.8443018e-06 ,-5.2318694e-05
1.0  ,0.008 ,0.577 ,ni61 ,28      ,61 ,2.0438468e-07  ,3.4999812e-07  ,1.4561344e-07 ,8.2741877e-07  ,3.4428072e-07 ,0.38081264
1.0  ,0.008 ,0.577 ,ni62 ,28      ,62 ,-2.077347e-07  ,2.6264766e-07  ,4.7038236e-07 ,6.2091647e-07  ,1.1121472e-06 ,-0.25312907
1.25 ,0.008 ,0.6   ,g    ,0       ,1  ,6.4906898e-09  ,2.1234014e-08  ,1.4743324e-08 ,3.2667714e-08  ,2.268423e-08  ,0.15839471
1.25 ,0.008 ,0.6   ,n    ,0       ,1  ,-9.8737732e-40 ,-9.8737732e-40 ,0.0           ,-1.5190426e-39 ,0.0           ,0.0
1.25 ,0.008 ,0.6   ,p    ,1       ,1  ,-0.014400542   ,0.46473736     ,0.4791379     ,0.7149806      ,0.73720652    ,-0.013294894
1.25 ,0.008 ,0.6   ,d    ,1       ,2  ,2.5464757e-18  ,2.5464757e-18  ,0.0           ,3.9176552e-18  ,0.0           ,0.0
1.25 ,0.008 ,0.6   ,he3  ,2       ,3  ,0.00021303543  ,0.00021303543  ,0.0           ,0.00032774682  ,0.0           ,0.0
1.25 ,0.008 ,0.6   ,he4  ,2       ,4  ,0.014155       ,0.18002293     ,0.16586792    ,0.27695835     ,0.25520611    ,0.035523411
1.25 ,0.008 ,0.6   ,li7  ,3       ,7  ,-3.3100189e-12 ,1.2091477e-09  ,1.2124577e-09 ,1.8602273e-09  ,1.8655e-09    ,-0.0012292247
1.25 ,0.008 ,0.6   ,be7  ,4       ,7  ,1.6678126e-11  ,1.6678126e-11  ,0.0           ,2.5658656e-11  ,0.0           ,0.0
1.25 ,0.008 ,0.6   ,b8   ,5       ,8  ,5.0179773e-27  ,5.0179773e-27  ,0.0           ,7.7199654e-27  ,0.0           ,0.0
1.25 ,0.008 ,0.6   ,c12  ,6       ,12 ,-0.00020241062 ,0.0005861714   ,0.00078858202 ,0.00090180221  ,0.0012133204  ,-0.12886421
1.25 ,0.008 ,0.6   ,c13  ,6       ,13 ,1.437605e-05   ,2.3866738e-05  ,9.4906882e-06 ,3.6718058e-05  ,1.4602471e-05 ,0.40045336
1.25 ,0.008 ,0.6   ,c14  ,6       ,14 ,6.4099158e-26  ,6.4099158e-26  ,0.0           ,9.861409e-26   ,0.0           ,0.0
1.25 ,0.008 ,0.6   ,n13  ,7       ,13 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.25 ,0.008 ,0.6   ,n14  ,7       ,14 ,0.00022780951  ,0.00051513722  ,0.00028732771 ,0.00079251884  ,0.00044208541 ,0.25350341
1.25 ,0.008 ,0.6   ,n15  ,7       ,15 ,-4.5288016e-07 ,6.818359e-07   ,1.1347161e-06 ,1.0489783e-06  ,1.7458859e-06 ,-0.22124934
1.25 ,0.008 ,0.6   ,o14  ,8       ,14 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.25 ,0.008 ,0.6   ,o15  ,8       ,15 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.25 ,0.008 ,0.6   ,o16  ,8       ,16 ,-7.7704899e-06 ,0.0024877361   ,0.0024955065  ,0.0038272864   ,0.0038396122  ,-0.0013964091
1.25 ,0.008 ,0.6   ,o17  ,8       ,17 ,9.4023858e-07  ,1.9512383e-06  ,1.0109998e-06 ,3.0019053e-06  ,1.5555346e-06 ,0.28551731
1.25 ,0.008 ,0.6   ,o18  ,8       ,18 ,-8.9235391e-07 ,4.7436965e-06  ,5.6360504e-06 ,7.2979951e-06  ,8.6716846e-06 ,-0.074899904
1.25 ,0.008 ,0.6   ,o19  ,8       ,19 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.25 ,0.008 ,0.6   ,f17  ,9       ,17 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.25 ,0.008 ,0.6   ,f18  ,9       ,18 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.25 ,0.008 ,0.6   ,f19  ,9       ,19 ,4.9176663e-11  ,1.0541841e-07  ,1.0536923e-07 ,1.6218218e-07  ,1.6212219e-07 ,0.00016067037
1.25 ,0.008 ,0.6   ,f20  ,9       ,20 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.25 ,0.008 ,0.6   ,ne19 ,10      ,19 ,0.0            ,0.0            ,0.0           ,0.0            ,0.0           ,0.0
1.25 ,0.008 ,0.6   ,ne20 ,10      ,20 ,-1.1787051e-08 ,0.00042122381  ,0.0004212356  ,0.00064803666  ,0.00064811739 ,-5.4105043e-05
