# Table 1 from Silva Aguirre et al. (2018). https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.5487S/abstract submit data cleaning bugs to GalacticCEM@gmail.com
#J/MNRAS/475/5487    Stellar properties of KIC stars       (Silva Aguirre+, 2018)
#================================================================================
#Confirming chemical clocks:
#asteroseismic age dissection of the Milky Way disc(s).
#    Silva Aguirre V., Bojsen-Hansen M., Slumstrup D., Casagrande L., Kawata D.,
#    Ciuca I., Handberg R., Lund M.N., Mosumgaard J.R., Huber D., Johnson J.A.,
#    Pinsonneault M.H., Serenelli A.M., Stello D., Tayar J., Bird J.C.,
#    Cassisi S., Hon M., Martig M., Nissen P.E., Rix H.W., Schonrich R.,
#    Sahlholdt C., Trick W.H., Yu J.
#   <Mon. Not. R. Astron. Soc., 475, 5487-5500 (2018)>
#   =2018MNRAS.475.5487S    (SIMBAD/NED BibCode)
#================================================================================
#ADC_Keywords: Stars, giant ; Stars, masses ; Stars, diameters ; Stars, ages ;
#              Stars, distances
#Keywords: asteroseismology - stars: fundamental parameters -
#          stars: kinematics and dynamic - Galaxy: disc - Galaxy: evolution -
#          Galaxy: structure
#
#Abstract:
#    Investigations of the origin and evolution of the Milky Way disc have
#    long relied on chemical and kinematic identifications of its
#    components to reconstruct our Galactic past. Difficulties in
#    determining precise stellar ages have restricted most studies to small
#    samples, normally confined to the solar neighbourhood. Here, we break
#    this impasse with the help of asteroseismic inference and perform a
#    chronology of the evolution of the disc throughout the age of the
#    Galaxy. We chemically dissect the Milky Way disc population using a
#    sample of red giant stars spanning out to 2 kpc in the solar annulus
#    observed by the Kepler satellite, with the added dimension of
#    asteroseismic ages. Our results reveal a clear difference in age
#    between the low- and high-{alpha} populations, which also show
#    distinct velocity dispersions in the V and W components. We find no
#    tight correlation between age and metallicity nor [{alpha}/Fe] for the
#    high-{alpha} disc stars. Our results indicate that this component
#    formed over a period of more than 2 Gyr with a wide range of [M/H] and
#    [{alpha}/Fe] independent of time. Our findings show that the kinematic
#    properties of young {alpha}-rich stars are consistent with the rest of
#    the high-{alpha} population and different from the low-{alpha} stars
#    of similar age, rendering support to their origin being old stars that
#    went through a mass transfer or stellar merger event, making them
#    appear younger, instead of migration of truly young stars formed close
#    to the Galactic bar.
#
#Description:
#    The set of stars considered in this study are the 1989 red giants
#    comprising the first combined APOGEE and Kepler catalogues, in which
#    the Kepler spacecraft detected oscillations during its nominal
#    mission.
#
#    We determined stellar properties for the APOKASC sample combining the
#    photometric, spectroscopic, and asteroseismic observables using the
#    BAyesian STellar Algorithm (BASTA, Silva Aguirre et al. 2015, Cat.
#    J/MNRAS/452/2127, 2017, Cat. J/ApJ/835/173).
#
#File Summary:
#--------------------------------------------------------------------------------
# FileName      Lrecl  Records   Explanations
#--------------------------------------------------------------------------------
#ReadMe            80        .   This file
#table1.dat        99     1197   Stellar properties determined with BASTA for
#                                 the APOKASC sample
#--------------------------------------------------------------------------------
#
#See also:
#             V/133 : Kepler Input Catalog (Kepler Mission Team, 2009)
#  J/MNRAS/452/2127 : Fundamental parameters of Kepler stars
#                                                    (Silva Aguirre+, 2015)
# J/ApJ/835/173     : Kepler asteroseismic LEGACY sample. II.
#                                                    (Silva Aguirre+, 2017)
#
#Byte-by-byte Description of file: table1.dat
#--------------------------------------------------------------------------------
#   Bytes Format Units     Label     Explanations
#--------------------------------------------------------------------------------
#   1-  8  I8    ---       KIC       Kepler Input Catalogue Identifier
#  10- 14  F5.3  Msun      Mass      Mass
#  16- 20  F5.3  Msun    e_Mass      rms uncertainty on Mass
#  22- 27  F6.3  Rsun      Rad       Radius
#  29- 33  F5.3  Rsun    e_Rad       rms uncertainty on Rad
#  35- 39  F5.3  [cm/s2]   logg      Surface gravity
#  41- 45  F5.3  [cm/s2] e_logg      rms uncertainty on logg
#  47- 52  F6.3  Gyr       Age       Age
#  54- 58  F5.3  Gyr     e_Age       rms uncertainty on Age
#  60- 66  F7.3  Lsun      Lum       Luminosity
#  68- 73  F6.3  Lsun    e_Lum       rms uncertainty on Lum
#  75- 81  F7.2  pc        Dist      Distance
#  83- 88  F6.2  pc      e_Dist      rms uncertainty on Dist
#  90- 99  F10.8 ---       Prob      Target selection probability
#--------------------------------------------------------------------------------
#
#History:
#    From electronic version of the journal
#
#================================================================================
#(End)                                      Patricia Vannier [CDS]    08-Apr-2021
# names=['KIC', 'Mass', 'e_Mass', 'Rad', 'e_Rad', 'logg', 'e_logg', 'Age', 'e_Age', 'Lum', 'e_Lum', 'Dist', 'e_Dist', 'Prob']
# KIC Mass e_Mass Rad e_Rad logg e_logg Age e_Ae Lum e_Lum Dist e_Dist Prob
10653383 1.491 0.065 11.230 0.212 2.516 0.008  2.601 0.468  62.838  3.931 1237.40  30.08 0.34801573
10587702 1.223 0.058  9.539 0.177 2.566 0.006  5.776 1.121  36.567  2.120 1405.21  33.42 0.11065809
11074543 1.009 0.066  7.768 0.194 2.658 0.008 10.644 3.026  26.035  2.795 1154.99  51.73 0.11368104
11019954 1.266 0.076 11.026 0.264 2.459 0.011  4.203 1.205  63.278  4.547  993.63  27.47 0.30277417
11020211 1.031 0.052  5.690 0.095 2.940 0.006  8.894 2.405  16.217  1.437  508.84  17.00 0.30392346
11020101 2.096 0.160  8.086 0.090 2.945 0.009  1.006 0.113  36.423  1.271 1044.45  15.87 0.95864218
11075908 1.393 0.054 11.057 0.157 2.494 0.007  3.402 0.709  60.850  3.789 1751.99  41.89 0.04855443
10966458 1.163 0.086 11.012 0.293 2.421 0.011  6.726 2.811  56.138  4.691  850.02  26.62 0.20388502
10910674 1.283 0.115 11.011 0.342 2.464 0.011  4.604 1.651  51.048  4.485 1218.40  40.02 0.19850075
11551758 1.126 0.142 10.963 0.525 2.409 0.020  8.147 4.574  56.888  6.221 1117.66  45.34 0.14459514
11654305 1.306 0.091  9.243 0.232 2.622 0.009  4.528 1.395  36.054  3.802 1528.54  58.55 0.12793637
11551746 1.652 0.099 11.164 0.232 2.567 0.007  1.906 0.419  63.407  5.309 1749.32  54.36 0.14026751
11447802 2.044 0.159 12.256 0.392 2.565 0.009  1.099 0.225  76.407  6.014  955.80  27.36 0.96669426
11551628 2.205 0.162 11.680 0.375 2.643 0.010  1.093 0.253  69.059  7.344 2136.04  81.94 0.06919154
11394905 1.437 0.056 11.151 0.206 2.504 0.007  2.604 0.560  66.294  4.709 1565.08  43.54 0.28137237
11395438 1.185 0.037 10.830 0.110 2.443 0.006  5.991 1.121  56.527  3.024 1857.50  37.48 0.00201310
11550567 1.502 0.113 11.739 0.290 2.479 0.009  2.602 0.696  68.559  6.479 1693.68  58.04 0.26017057
11550492 1.132 0.039  6.396 0.098 2.878 0.004  7.155 1.993  19.386  1.717  327.60   9.94 0.27289279
